country,value,uncertainty,latitude,longitude,total,average,Access to financial assets,Access to justice,Access to land assets,Access to non-land assets,Child marriage eradication,Female genital mutilation eradication,Freedom of movement,Household responsibilities,Political voice,Violence against women eradication,Workplace rights
Qatar,57.4,0.2857142857,17.276987,34.520008,527.65,65.95625,61.6,95.6,,,96,,86.5,42.85,14.4,95,35.7
Iran,47.7,0.2857142857,29.3152,33.3661,523.2,65.4,84.3,66.4,,,78.5,,71.8,47.15,44.7,90.2,40.15
Dominican_Republic,35.2,0.2857142857,28.4861,-63.9312,522.5,52.25,47.5,45.5,8.5,30.4,72.5,,33,44.2,59,97,84.9
Moldova,44.2,0.3571428571,49.0105,24.8638,518.95,64.86875,62.9,37.2,,,92.9,,67.2,65.1,47.7,87,58.95
Kazakhstan,50.8,0.2857142857,41.222,43.8512,518.65,64.83125,83.6,54,,,94,,56.5,66.95,48.4,62.6,52.6
Peru,53.2,0.2857142857,-6.0464,-68.0428,516.95,64.61875,51.4,17.7,,,90.5,,39.9,64.4,83.4,88.6,81.05
Malaysia,53.9,0.2857142857,6.0152,65.3661,513.95,64.24375,87.5,78.6,,,94,,43.6,69.85,41.7,44.7,54
Georgia,49.2,0.2857142857,43.7151,26.271,513.6,64.2,70.7,50.2,,,88.8,,73.4,47.65,42.6,91.3,48.95
Korea,53.4,0.2857142857,31.0152,70.3661,509.5,63.6875,98.7,24.5,,,99.8,,78.6,51.4,48,58.9,49.6
Haiti,45.1,0.1428571429,28.5944,-68.3071,508.9,50.89,27.1,48.5,25.8,27.4,93.1,,45.5,52.8,62.7,77,49
Philippines,49.5,0.1428571429,6.8797,75.774,508.85,50.885,40.9,71,11.6,31.8,91.5,,65.3,63.05,43.5,46.4,43.8
Uganda,54.2,0.2142857143,3.1136,5.581,506.05,50.605,35.3,52.3,30.8,37.8,80.1,91.15,45.4,,31.9,42,59.3
